label,archive,P1,P2,a_res,a_res_err,b_res,b_res_err,res_chi2ndf,res_fit_ok,acc_norm,acc_norm_err,acc_k,acc_k_err,acc_p0,acc_p0_err,acc_chi2ndf,acc_fit_ok
T1-240_T2-250_T3-0_T4-0_P1-215_P2-230_F1-260_F2-270_E1-700,EARLY_TRACKERS_20260217,215,230,0.0114539,0.0145284,0.0391874,0.000974396,2.41682,1,0.003518,8.4363e-05,11.106,5.12068,0.855582,0.0845627,22.8151,1
T1-240_T2-250_T3-280_T4-290_P1-215_P2-230_F1-260_F2-270_E1-700,Upstream_pizzas_20260416,215,230,0.000130826,0.964691,0.0273053,0.000617418,0.857478,1,0.00508985,0.000104237,7.33342,1.84662,1.0059,0.0601862,7.38,1
T1-240_T2-250_T3-680_T4-690_P1-215_P2-230_F1-260_F2-270_E1-700,KLong_Diss_Draft_Figs_20260413,215,230,0.000132371,0.828553,0.0260953,0.000594403,1.16212,1,0.00509114,0.000103905,7.20724,1.77807,1.04171,0.0628591,7.98327,1
T1-280_T2-290_T3-0_T4-0_P1-255_P2-270_F1-300_F2-310_E1-700,EARLY_TRACKERS_20260217,255,270,0.000100076,0.170699,0.0357743,0.000692982,2.81006,1,0.00605264,0.000110774,9.76923,3.84188,0.823575,0.0686315,25.7167,1
T1-280_T2-290_T3-320_T4-330_P1-255_P2-270_F1-300_F2-310_E1-700,Upstream_pizzas_20260416,255,270,0.000100011,0.211895,0.0267366,0.00052461,2.10864,1,0.00755556,0.000126107,6.3611,1.55552,0.972421,0.0790924,11.0918,1
T1-280_T2-290_T3-680_T4-690_P1-255_P2-270_F1-300_F2-310_E1-700,KLong_Diss_Draft_Figs_20260413,255,270,0.000107644,0.646791,0.0274677,0.000530769,1.99898,1,0.00753648,0.000126286,7.18751,1.72838,0.924986,0.0642727,9.81695,1
T1-320_T2-330_T3-0_T4-0_P1-295_P2-310_F1-340_F2-350_E1-700,EARLY_TRACKERS_20260217,295,310,0.000100777,0.622925,0.0335831,0.000572128,2.28591,1,0.008519,0.000132149,5.872,0.680523,1.08698,0.0554266,30.4623,1
T1-320_T2-330_T3-360_T4-370_P1-295_P2-310_F1-340_F2-350_E1-700,Upstream_pizzas_20260416,295,310,0.000100001,0.151255,0.0276657,0.000486017,3.42921,1,0.0100679,0.000145131,8.66787,2.61177,0.847616,0.0714978,14.8276,1
T1-320_T2-330_T3-680_T4-690_P1-295_P2-310_F1-340_F2-350_E1-700,KLong_Diss_Draft_Figs_20260413,295,310,0.000100011,0.192294,0.027117,0.000479119,2.80073,1,0.0100298,0.000145194,8.88902,2.67181,0.858655,0.0761858,15.1806,1
T1-360_T2-370_T3-0_T4-0_P1-335_P2-350_F1-380_F2-390_E1-700,EARLY_TRACKERS_20260217,335,350,0.000100516,0.112306,0.0340022,0.000524953,2.95349,1,0.0111486,0.000148332,11.5135,5.42003,0.795311,0.0638697,30.0199,1
T1-360_T2-370_T3-400_T4-410_P1-335_P2-350_F1-380_F2-390_E1-700,Upstream_pizzas_20260416,335,350,0.000100003,0.0584604,0.0301905,0.000497321,5.50485,1,0.0121911,0.000155447,10.8875,4.40319,0.816658,0.0582321,16.8072,1
T1-360_T2-370_T3-680_T4-690_P1-335_P2-350_F1-380_F2-390_E1-700,Diss_Draft_2_20260415,335,350,0.000100018,0.0670948,0.029005,0.000477183,5.26253,1,0.0122041,0.000155922,10.7341,5.32275,0.827508,0.0757923,18.0978,1
T1-370_T2-380_T3-680_T4-690_P1-345_P2-360_F1-390_F2-400_E1-700,Diss_Draft_2_20260415,345,360,0.000100105,0.0623484,0.0299922,0.000481637,4.7705,1,0.0129763,0.000160507,10.8431,4.13725,0.818091,0.0562706,18.103,1
T1-380_T2-390_T3-680_T4-690_P1-355_P2-370_F1-400_F2-410_E1-700,Diss_Draft_2_20260415,355,370,0.000100212,0.0498086,0.0300656,0.000483328,6.54258,1,0.013411,0.000162739,12.0191,5.33507,0.819017,0.0641421,18.6713,1
T1-390_T2-400_T3-680_T4-690_P1-365_P2-380_F1-410_F2-420_E1-700,Diss_Draft_2_20260415,365,380,0.000100105,0.040892,0.0316398,0.00049148,7.73547,1,0.013711,0.000164709,10.9944,4.46788,0.805314,0.0585312,22.191,1
T1-400_T2-410_T3-0_T4-0_P1-375_P2-390_F1-420_F2-430_E1-700,EARLY_TRACKERS_20260217,375,390,0.0001,0.0506293,0.0330904,0.000482282,3.35392,1,0.0133505,0.000162239,10.6377,6.21393,0.782534,0.0729686,30.4717,1
T1-400_T2-410_T3-440_T4-450_P1-375_P2-390_F1-420_F2-430_E1-700,Upstream_pizzas_20260416,375,390,0.000100383,0.0358819,0.0320956,0.000502512,9.1916,1,0.0144022,0.000169413,10.3704,6.2658,0.806342,0.0861609,19.6817,1
T1-400_T2-410_T3-680_T4-690_P1-375_P2-390_F1-420_F2-430_E1-700,Diss_Draft_2_20260415,375,390,0.0001,0.0358365,0.0319926,0.000500364,8.9979,1,0.0142374,0.000168184,10.2359,5.13637,0.807287,0.071388,19.6703,1
T1-410_T2-420_T3-680_T4-690_P1-385_P2-400_F1-430_F2-440_E1-700,Diss_Draft_2_20260415,385,400,0.0001,0.0313641,0.0325834,0.000499949,10.0382,1,0.014828,0.000170873,11.2185,5.68198,0.788715,0.0660164,19.8555,1
T1-420_T2-430_T3-680_T4-690_P1-395_P2-410_F1-440_F2-450_E1-700,Diss_Draft_2_20260415,395,410,0.00010002,0.0306978,0.0342103,0.000511691,10.1069,1,0.0152261,0.000173008,11.8919,5.95121,0.780683,0.0660845,20.1049,1
T1-430_T2-440_T3-680_T4-690_P1-405_P2-420_F1-450_F2-460_E1-700,Diss_Draft_2_20260415,405,420,0.000100012,0.0301832,0.0358726,0.000526223,10.0771,1,0.0157548,0.000175964,11.6393,5.89578,0.780889,0.0660809,19.8172,1
T1-440_T2-450_T3-0_T4-0_P1-415_P2-430_F1-460_F2-470_E1-700,EARLY_TRACKERS_20260217,415,430,0.000100205,0.0402135,0.0336526,0.00047516,4.5743,1,0.0154218,0.000179442,7.27513,1.71436,0.90185,0.064229,27.5381,1
T1-440_T2-450_T3-480_T4-490_P1-415_P2-430_F1-460_F2-470_E1-700,Upstream_pizzas_20260416,415,430,0.000100005,0.0316894,0.0366474,0.000527723,10.254,1,0.0162051,0.000178667,10.6802,4.55381,0.778018,0.0595133,19.51,1
T1-440_T2-450_T3-680_T4-690_P1-415_P2-430_F1-460_F2-470_E1-700,Diss_Draft_2_20260415,415,430,0.000100008,0.0342517,0.0371474,0.000535058,11.599,1,0.0161625,0.00017824,10.9035,5.22506,0.769173,0.0640877,21.3057,1
T1-480_T2-490_T3-0_T4-0_P1-455_P2-470_F1-500_F2-510_E1-700,EARLY_TRACKERS_20260217,455,470,0.000100004,0.028482,0.0353076,0.000469871,7.19504,1,0.0172479,0.000184064,10.3929,4.87956,0.734779,0.0725951,24.4045,1
T1-480_T2-490_T3-520_T4-530_P1-455_P2-470_F1-500_F2-510_E1-700,Upstream_pizzas_20260416,455,470,0.0001,0.0349364,0.0437187,0.000558124,11.7247,1,0.0176398,0.000186211,9.53235,6.03929,0.746029,0.0746382,18.3281,1
